SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"OFSS","12,105.00","12,110.00","11,679.00","12,058.00","11,847.00","-","-211","-1.75","185270","218.53","12,540.00","6,234.50","0.36","43.08"
"LENSKART","688.95","697.25","684.50","684.90","688.60","-","3.7","0.54","3142143","216.47","697.25","356.10","20.87","0"
"NAM-INDIA","1,158.80","1,196.00","1,152.00","1,159.90","1,195.00","-","35.1","3.03","1817884","214.00","1,269.50","794.00","1.62","49.74"
"LAURUSLABS","1,840.00","1,876.70","1,832.70","1,840.00","1,876.70","-","36.7","1.99","1148664","213.58","1,949.00","823.10","1.76","113.1"
"VBL","406.00","407.60","404.00","407.60","405.95","-","-1.65","-0.4","5062827","205.20","555.80","381.00","-8.16","-13.56"
"ADANIPOWER","207.10","208.65","204.16","207.20","204.49","-","-2.71","-1.31","9839611","202.49","254.20","120.00","-2.16","67.7"
"SBILIFE","1,775.00","1,775.00","1,727.80","1,775.00","1,732.00","-","-43","-2.42","1155352","201.76","2,132.00","1,700.40","-6.66","-4.06"
"AXISBANK","1,271.00","1,271.90","1,261.60","1,273.00","1,266.00","-","-7","-0.55","1592707","201.62","1,418.30","1,047.30","2.26","19.9"
"TMCV","459.00","461.90","454.15","458.20","460.00","-","1.8","0.39","4403689","201.59","509.00","306.30","1.52","0"
"VMM","106.15","106.57","103.06","106.14","104.00","-","-2.14","-2.02","19261503","200.44","155.32","98.77","-4.34","-31.79"
"TMPV","311.50","312.00","307.00","311.50","307.00","-","-4.5","-1.44","6493351","200.36","739.70","294.30","-11.53","-55.62"
"ADANIPORTS","1,714.00","1,716.40","1,685.90","1,707.30","1,694.30","-","-13","-0.76","1175225","199.86","1,891.10","1,292.00","0.05","28.18"
"REDINGTON","371.05","381.60","370.00","371.30","378.10","-","6.8","1.83","5166393","195.40","381.60","191.31","6.55","59.66"
"ADANIENSOL","1,412.70","1,418.50","1,387.80","1,409.60","1,390.40","-","-19.2","-1.36","1342576","187.92","1,789.00","744.90","-14.7","83.93"
"HEROMOTOCO","5,300.00","5,347.50","5,270.00","5,300.00","5,270.00","-","-30","-0.57","354258","187.84","6,388.50","4,671.50","-7.95","-1.73"
"POWERGRID","266.00","268.80","264.25","266.00","266.45","-","0.45","0.17","7015606","187.66","324.95","250.00","-1.9","-6.62"
"SHRIRAMFIN","1,045.00","1,046.10","1,029.30","1,041.00","1,037.00","-","-4","-0.38","1812019","187.61","1,153.70","583.90","-7","75.02"
"WIPRO","175.89","176.47","172.65","176.40","172.80","-","-3.6","-2.04","10720636","186.13","273.10","169.00","-7.85","-29.08"
"HINDALCO","1,011.10","1,014.80","999.80","1,011.00","1,006.00","-","-5","-0.49","1848438","185.66","1,176.00","731.95","-5.06","35.25"
"SBICARD","653.10","674.65","648.75","658.25","674.65","-","16.4","2.49","2781077","184.28","965.00","565.45","2.37","-14.76"
"MAXHEALTH","983.00","994.90","974.00","984.80","992.00","-","7.2","0.73","1854549","183.17","1,221.90","903.00","-7.29","-15.21"
"HSCL","666.00","687.00","666.00","671.05","674.40","-","3.35","0.5","2666117","180.51","819.50","418.50","-10.4","48.28"
"PINELABS","168.00","168.48","163.85","166.37","164.68","-","-1.69","-1.02","10783461","178.79","284.00","134.73","6.63","0"
"ASHOKLEY","170.00","172.13","168.40","169.00","170.00","-","1","0.59","10426646","177.21","215.42","126.54","-4.23","30"
"INDIGO","4,950.00","5,008.00","4,944.00","4,977.00","5,001.00","-","24","0.48","354874","176.88","5,970.00","3,895.20","-6.23","-11.8"
"TATAPOWER","366.90","369.80","363.00","368.00","365.70","-","-2.3","-0.63","4849767","176.84","464.90","342.50","-3.9","-5.21"
"ITC","264.10","264.95","262.95","264.10","263.50","-","-0.6","-0.23","6688002","176.32","427.00","255.50","-7.9","-35.31"
"FEDERALBNK","343.00","343.00","337.60","343.00","342.00","-","-1","-0.29","5174214","176.26","371.70","188.40","-4","79.51"
"CGCL","282.70","287.45","273.10","279.90","273.80","-","-6.1","-2.18","6271786","175.52","287.45","151.10","18.91","48.42"
"GAIL","173.40","177.30","172.80","173.40","176.00","-","2.6","1.5","9910348","174.10","186.87","134.36","1.36","1.17"
"NTPC","332.50","333.80","330.35","332.50","332.00","-","-0.5","-0.15","5245813","173.98","414.40","315.55","-3.07","1"
"BHEL","432.90","434.95","418.55","431.10","421.45","-","-9.65","-2.24","4092933","173.53","446.50","209.60","4.01","98.46"
"LUPIN","2,121.10","2,135.50","2,095.60","2,110.00","2,105.00","-","-5","-0.24","819621","172.70","2,529.50","1,900.00","-10.94","8.29"
"JSWSTEEL","1,334.30","1,335.00","1,301.00","1,325.00","1,302.00","-","-23","-1.74","1276231","167.62","1,351.00","1,063.00","0.19","21.33"
"INDUSTOWER","379.25","383.75","376.00","376.80","376.45","-","-0.35","-0.09","4311184","163.37","481.50","321.60","-2.47","11.57"
"MOTILALOFS","1,037.00","1,058.90","1,031.40","1,037.00","1,055.00","-","18","1.74","1551861","163.09","1,097.10","614.90","21.26","20.84"
"POWERINDIA","31,635.00","32,175.00","31,635.00","31,650.00","31,775.00","-","125","0.39","50681","161.80","38,785.00","16,111.00","-2.53","68.57"
"BANKBARODA","240.00","240.90","235.20","239.00","237.00","-","-2","-0.84","6824391","161.66","325.50","231.72","-5.46","1.17"
"LTM","4,500.00","4,519.40","4,405.00","4,554.00","4,448.00","-","-106","-2.33","361825","160.62","6,429.50","3,528.00","-4.51","-14.39"
"CHOLAFIN","1,838.60","1,848.20","1,798.30","1,839.00","1,848.20","-","9.2","0.5","876074","160.03","1,952.50","1,299.40","-0.96","23.97"
"CUB","235.50","248.85","234.20","236.01","237.60","-","1.59","0.67","6586154","159.84","248.85","145.13","12.08","58.35"
"APLAPOLLO","2,250.00","2,255.00","2,198.80","2,250.00","2,215.00","-","-35","-1.56","709214","157.31","2,301.40","1,648.30","12.44","33.06"
"BRITANNIA","5,126.00","5,126.00","5,005.50","5,101.50","5,042.50","-","-59","-1.16","307760","155.20","6,336.00","5,005.50","-8.48","-17.01"
"JPPOWER","16.29","17.14","16.09","16.29","16.75","-","0.46","2.82","91476432","152.86","24.50","13.15","-6.63","-12.17"
"INDHOTEL","719.90","720.45","709.20","720.00","716.20","-","-3.8","-0.53","2137419","152.51","792.55","565.00","-2.02","-7.56"
"JSWENERGY","539.90","541.25","528.00","539.85","530.00","-","-9.85","-1.82","2738335","146.06","617.35","427.75","-6.09","5.14"
"TVSMOTOR","4,127.00","4,159.90","4,100.70","4,133.10","4,132.00","-","-1.1","-0.03","353313","145.94","4,484.50","3,228.00","-6.96","18.85"
"GODREJPROP","1,982.00","1,984.00","1,891.10","1,982.00","1,922.20","-","-59.8","-3.02","752808","144.78","2,352.00","1,434.00","-7.14","-2.02"
"RBLBANK","416.00","418.25","407.85","414.35","415.00","-","0.65","0.16","3484526","144.13","418.25","261.60","6.46","50.36"
"NYKAA","331.00","339.75","330.10","332.50","332.70","-","0.2","0.06","4285910","143.94","349.55","227.90","0.21","37.12"
"MFSL","1,537.50","1,544.30","1,510.00","1,548.40","1,520.00","-","-28.4","-1.83","938109","143.05","1,892.50","1,433.60","1.51","-3.64"
"INDUSINDBK","1,004.10","1,017.90","995.00","1,008.50","998.00","-","-10.5","-1.04","1418742","142.56","1,077.85","710.60","-2.35","31.83"
"PPLPHARMA","214.23","221.80","213.12","214.22","219.50","-","5.28","2.46","6407335","140.24","221.80","132.30","4.75","9.39"
"HINDUNILVR","1,972.00","1,974.20","1,958.00","1,973.40","1,960.00","-","-13.4","-0.68","713057","140.18","2,750.00","1,950.40","-6.49","-25.57"
"DATAPATTNS","4,569.10","4,644.00","4,554.30","4,585.00","4,604.50","-","19.5","0.43","304258","140.05","5,000.00","2,131.00","5.11","85.91"
"ENRIN","3,115.80","3,185.00","3,111.60","3,115.70","3,115.00","-","-0.7","-0.02","441448","139.19","3,968.00","2,115.00","-14.63","-9.07"
"TATACONSUM","1,014.00","1,019.90","1,004.00","1,010.00","1,015.00","-","5","0.5","1368015","138.75","1,282.70","1,004.00","-6.22","-5.35"
"HINDPETRO","355.00","356.90","349.55","356.50","356.90","-","0.4","0.11","3859485","136.36","508.45","316.20","-9.2","-6.96"
