SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"GILLETTE","7,312.50","7,391.00","7,280.00","7,312.50","7,382.50","-","70","0.96","9738","7.14","10,740.00","7,206.00","-3.92","-29.43"
"AIIL","517.75","519.50","509.00","519.90","518.90","-","-1","-0.19","136349","7.00","683.00","400.00","-13.02","-16.01"
"AIAENG","4,231.20","4,249.00","4,180.00","4,231.20","4,239.00","-","7.8","0.18","15736","6.63","5,180.00","3,002.00","-11.24","38.87"
"NAVA","563.00","563.00","554.10","560.20","557.60","-","-2.6","-0.46","118784","6.62","739.40","501.65","-4.17","-17.84"
"HEXT","528.60","528.60","518.05","528.60","523.50","-","-5.1","-0.96","126595","6.62","807.75","400.20","-7.28","-27.42"
"MMTC","64.50","64.62","63.50","64.18","63.67","-","-0.51","-0.79","1021196","6.53","78.35","50.10","-0.48","-1.35"
"SBFC","99.70","99.80","97.50","100.08","98.61","-","-1.47","-1.47","647488","6.37","123.00","79.60","4.63","-7.69"
"HONAUT","35,660.00","35,895.00","35,380.00","35,655.00","35,600.00","-","-55","-0.15","1788","6.37","41,495.00","26,220.00","-6.07","0.56"
"DOMS","2,203.00","2,225.00","2,195.00","2,208.70","2,201.00","-","-7.7","-0.35","28632","6.31","2,770.00","2,023.90","-2.64","-16.83"
"TATAINVEST","629.15","631.55","625.75","633.70","627.50","-","-6.2","-0.98","94363","5.92","1,184.70","538.85","-9.54","-7.15"
"DCMSHRIRAM","1,019.90","1,025.40","1,005.00","1,020.90","1,013.90","-","-7","-0.69","56453","5.71","1,414.40","945.10","-0.29","-18.46"
"UTIAMC","883.70","892.75","879.00","880.55","889.00","-","8.45","0.96","64072","5.68","1,418.00","866.00","-0.85","-32.9"
"TIMKEN","3,148.00","3,150.00","3,085.00","3,125.30","3,085.00","-","-40.3","-1.29","18234","5.67","3,925.00","2,800.50","-7.94","7.21"
"RHIM","371.80","375.15","369.00","371.35","373.30","-","1.95","0.53","150341","5.59","508.30","323.05","-9.57","-21.34"
